5.200000000000000000e+02,5.000000000000000000e+02,1.570000000000000062e+00
5.200000000000000000e+02,5.000000000000000000e+02,1.570000000000000062e+00
5.199900805732764866e+02,5.004999383795553740e+02,1.570659136957825330e+00
5.199795605245928982e+02,5.009659670388929840e+02,1.570688856136931655e+00
5.199762362415942789e+02,5.014473477149053906e+02,1.570101485483446080e+00
5.199742472493054493e+02,5.019049473463788900e+02,1.570314386501600268e+00
5.199722057605320060e+02,5.023765717346864221e+02,1.570859421631941366e+00
5.199722696375475834e+02,5.028395160323022992e+02,1.571079610288746986e+00
5.199657408896614470e+02,5.033116614120685881e+02,1.570841033031910694e+00
5.199503773844495527e+02,5.037770197250015940e+02,1.570704801570143028e+00
5.199373266494769723e+02,5.042492970182482850e+02,1.571177262507260641e+00
5.199259277311259666e+02,5.047180839876529035e+02,1.571257829692680463e+00
5.199331073257367279e+02,5.051838776243442339e+02,1.571457437126170031e+00
5.199334345216275324e+02,5.056499776247275122e+02,1.571447681336508362e+00
5.199205042229632454e+02,5.060994689188319171e+02,1.571688817636908597e+00
5.199151450641592191e+02,5.065606381787320061e+02,1.571106017053792492e+00
5.198984868360869314e+02,5.070280319815677785e+02,1.570825092673626022e+00
5.198866158302230360e+02,5.074922164725938956e+02,1.571161957157015676e+00
5.198837073123876280e+02,5.079627500655632275e+02,1.571594523979138680e+00
5.198878530374652200e+02,5.084186449845634570e+02,1.572151840698830405e+00
5.198793088013558190e+02,5.088760813881016247e+02,1.573990753429830525e+00
5.198776839430006476e+02,5.093416374400015343e+02,1.575671049997060535e+00
5.198733928340700459e+02,5.098015636942722040e+02,1.576864379291183171e+00
5.198645757274589414e+02,5.102550835988083691e+02,1.578888630692157458e+00
5.198572076927449643e+02,5.107113658557854023e+02,1.581504392144742921e+00
5.198450916474184851e+02,5.111590554338288825e+02,1.584511312916174974e+00
5.198238094176670074e+02,5.116146156280244668e+02,1.587117985133020825e+00
5.198032446653794523e+02,5.120587323506257462e+02,1.591588986661787608e+00
5.197877118214122447e+02,5.125094567794525346e+02,1.595661595765826002e+00
5.197648714007344779e+02,5.129586062475115114e+02,1.599670948338364207e+00
5.197548665127843606e+02,5.134055859638619950e+02,1.603829582602974924e+00
5.197339745381995044e+02,5.138560709726270943e+02,1.607694905398282526e+00
5.196953841456067948e+02,5.143023802159019624e+02,1.611890370985915810e+00
5.196690966613547289e+02,5.147362880448629312e+02,1.616606000608146410e+00
5.196305561215881426e+02,5.151707828191548515e+02,1.621462938639379736e+00
5.196043977655448316e+02,5.156185985874163862e+02,1.626338064533739969e+00
5.195765881204420111e+02,5.160577534424076021e+02,1.631199950161991374e+00
5.195469397449318194e+02,5.165043149756921821e+02,1.635305558455187214e+00
5.195032763757460543e+02,5.169041365533061025e+02,1.640298048965272315e+00
5.194719460672205287e+02,5.173377753531387953e+02,1.644206962599909394e+00
5.194294840293675861e+02,5.177628283521809180e+02,1.647951591386765502e+00
5.193862792816131559e+02,5.181740701503919126e+02,1.651779275354665621e+00
5.193542885448060815e+02,5.185969823581283435e+02,1.654321677982938388e+00
5.193006451563259134e+02,5.190105292746978876e+02,1.656807750604669227e+00
5.192642381975614398e+02,5.194216629552481663e+02,1.658469197298116926e+00
5.192309079040195456e+02,5.198326588914300146e+02,1.660818022571585839e+00
5.191920349661032787e+02,5.202320139182151024e+02,1.663011753818703475e+00
5.191464491641388577e+02,5.206267832107055256e+02,1.664725196054803069e+00
5.190946975726914161e+02,5.210139859913813325e+02,1.666372007411353051e+00
5.190527629056359729e+02,5.214014762573254984e+02,1.667975645221383196e+00
5.190087437676654645e+02,5.217874379366478479e+02,1.669920017847235982e+00
5.189714052912124771e+02,5.221669540905321583e+02,1.672012950326952740e+00
5.189313031512314183e+02,5.225284395494895762e+02,1.674733397940055379e+00
5.188835457007189689e+02,5.228975729394231848e+02,1.676880136887855199e+00
5.188380102605040065e+02,5.232384006403916601e+02,1.678597647144370208e+00
5.187897412867994262e+02,5.235920174134600984e+02,1.680552009292099802e+00
5.187446419517840468e+02,5.239230529140331782e+02,1.682459522147903952e+00
5.187045052833141199e+02,5.242699731689855298e+02,1.684642094397347689e+00
5.186692595480642467e+02,5.245971666225726722e+02,1.686046598628730298e+00
5.186356596198521629e+02,5.249197983932336911e+02,1.687240011559231645e+00
5.186046299811026756e+02,5.252269679660913653e+02,1.687822037813141218e+00
5.185716487199053972e+02,5.255222211569678166e+02,1.688397135964864182e+00
5.185233815936639985e+02,5.257926634903170680e+02,1.689142281637363796e+00
5.184878809735731693e+02,5.260335080614644312e+02,1.689083663248820644e+00
5.184631388428515493e+02,5.262775480715179128e+02,1.688581791529908394e+00
5.184314235058080840e+02,5.265100097285314860e+02,1.688350339292031377e+00
5.184205872038477310e+02,5.267223233926772537e+02,1.688686662321257304e+00
5.183956136829232264e+02,5.269157323968164519e+02,1.687887865677194732e+00
5.183659305503302903e+02,5.270878623839122383e+02,1.686987524934377758e+00
5.183461122215946943e+02,5.272480540275447538e+02,1.686111921329035868e+00
5.183122111113277697e+02,5.273952113917954421e+02,1.686075042951151959e+00
5.183023331778123293e+02,5.275460512928489152e+02,1.685177652901041601e+00
5.183020969571292653e+02,5.276849215905490382e+02,1.684644964435452419e+00
5.182947177768868414e+02,5.278184172483361181e+02,1.684670937154036041e+00
5.182924502578318879e+02,5.279486972514341687e+02,1.683639027308705405e+00
5.182705724922922172e+02,5.280584757290932885e+02,1.682998807006689246e+00
5.182524126514206273e+02,5.281511253000721808e+02,1.682338147538403605e+00
5.182460582753279823e+02,5.282346806841439957e+02,1.681992879647547845e+00
5.182395482122730073e+02,5.283202760735428001e+02,1.682052861862908255e+00
5.182367901894783699e+02,5.284000129381071247e+02,1.681396548213715425e+00
5.182254636446789391e+02,5.284675428114296665e+02,1.681107816532053212e+00
5.182105864867103264e+02,5.285330721643553034e+02,1.681128360818225476e+00
5.181975973311548387e+02,5.286080939458901184e+02,1.680635567663315122e+00
5.181866164468626721e+02,5.286831186769984470e+02,1.680167492923127393e+00
5.181815307781508864e+02,5.287493598580243770e+02,1.680110652336249011e+00
5.181699796644804792e+02,5.288180676081769889e+02,1.679603513749737820e+00
5.181615172211604659e+02,5.288839210166933071e+02,1.679192539690785413e+00
5.181533089885091385e+02,5.289490373676786703e+02,1.678825317042831555e+00
5.181494589667800028e+02,5.290105337145082558e+02,1.678610486794896994e+00
5.181419435411862651e+02,5.290788023311780535e+02,1.678565200566096038e+00
5.181321114567450650e+02,5.291398179081572835e+02,1.678016167533601832e+00
5.181263727134922874e+02,5.292004180226683729e+02,1.677861704071483606e+00
5.181222821030421528e+02,5.292484979018913691e+02,1.677360142298497392e+00
5.181085862885604456e+02,5.293069737678202955e+02,1.676948091250076489e+00
5.180990277732535105e+02,5.293545314660698295e+02,1.676804006637269362e+00
5.180889736152486194e+02,5.294090233057673913e+02,1.676548692800070794e+00
5.180814648134603431e+02,5.294598614107788990e+02,1.675929559304717653e+00
5.180765151117910818e+02,5.295235976792657766e+02,1.675199395687251513e+00
5.180646248928258046e+02,5.295867723019576943e+02,1.674647325768769957e+00
5.180521030832962879e+02,5.296566906533902284e+02,1.674008136110838763e+00
5.180510070929752828e+02,5.297129071037611538e+02,1.673117089363952426e+00
5.180367906784576917e+02,5.297749241465425030e+02,1.672396424566797490e+00
5.180341792742492544e+02,5.298428551972635887e+02,1.671554901893131717e+00
5.180204987994211479e+02,5.299169855244952032e+02,1.670795693142136829e+00
5.180084480114614962e+02,5.299842409891933812e+02,1.670422151630008178e+00
5.179947032313806403e+02,5.300573376921979616e+02,1.670233997475282894e+00
5.179861983506064007e+02,5.301289523148951730e+02,1.669877530548059541e+00
5.179817416085894592e+02,5.301936265970924751e+02,1.669104446876501280e+00
5.179767402803281584e+02,5.302593791620723778e+02,1.668453057860626254e+00
5.179675937043173235e+02,5.303346455974869968e+02,1.668354734202714296e+00
5.179575723235326450e+02,5.304042641235861311e+02,1.668225997556896045e+00
5.179471042614575254e+02,5.304734925632155864e+02,1.667667464861704030e+00
5.179483236644406361e+02,5.305370975509241589e+02,1.666765410600883568e+00
5.179346743630296714e+02,5.306087711814328713e+02,1.666975457864756871e+00
5.179286331597935487e+02,5.306761738015029550e+02,1.666541466165971430e+00
5.179179079817766933e+02,5.307475761958826297e+02,1.666153250075129488e+00
5.179148796353817943e+02,5.308151481723206189e+02,1.666235321639281119e+00
5.178970228362314856e+02,5.308850101892769544e+02,1.666487778805233022e+00
5.178854139775774001e+02,5.309475096675042778e+02,1.666464360615955265e+00
5.178719410836563384e+02,5.310114227549800034e+02,1.666459372005346662e+00
5.178611594185393869e+02,5.310766220064932668e+02,1.666244697114104723e+00
5.178619208187757295e+02,5.311324597020899319e+02,1.666123121154551301e+00
5.178494921313915711e+02,5.311950644934582897e+02,1.665875704450606509e+00
5.178502105295921183e+02,5.312461977330111722e+02,1.666034535641697900e+00
5.178420956734511265e+02,5.313101444745426534e+02,1.666294773420587516e+00
5.178402750835522284e+02,5.313628886058099852e+02,1.666069751618000305e+00
5.178339567910126107e+02,5.314086607643067737e+02,1.665721902680038058e+00
5.178277499026191890e+02,5.314583350870225331e+02,1.665703023522826953e+00
5.178194826774490593e+02,5.315012405191225753e+02,1.665496623236243146e+00
5.178171877112051789e+02,5.315500445706071559e+02,1.665121780962365294e+00
5.178096831321297486e+02,5.315934019029330102e+02,1.665033502840367330e+00
5.178025306158541525e+02,5.316292428256601852e+02,1.664712339526235096e+00
5.177944470137748567e+02,5.316648429259645354e+02,1.664458838423153120e+00
5.177890829276889235e+02,5.317052984044013328e+02,1.664496017077677026e+00
5.177895661931147515e+02,5.317432455240206082e+02,1.664460923447096619e+00
5.177844927450594241e+02,5.317825091119085528e+02,1.664494413102804993e+00
5.177720606530779150e+02,5.318220931778653267e+02,1.664564043081026012e+00
5.177756196665073958e+02,5.318504490631223689e+02,1.664065863411041235e+00
5.177635341658225343e+02,5.318824481774933020e+02,1.664182389166344311e+00
5.177620522536331009e+02,5.318998596413905489e+02,1.663918734498237351e+00
5.177551052586787819e+02,5.319191158756602817e+02,1.663784007888279737e+00
5.177539131971394681e+02,5.319422338989919581e+02,1.663635708500667221e+00
5.177493074157180217e+02,5.319525670731270566e+02,1.663617975888529665e+00
5.177429950885941707e+02,5.319731446926900844e+02,1.663340197206433446e+00
5.177384038225761742e+02,5.319946860633815504e+02,1.663576177776897813e+00
5.177398958919758343e+02,5.320134671342144657e+02,1.663403416741762619e+00
5.177420149992019560e+02,5.320180345582537029e+02,1.663163160852916045e+00
5.177362029012081166e+02,5.320311966072400764e+02,1.663124197110172009e+00
5.177364265591335197e+02,5.320369381210306301e+02,1.663231151052548373e+00
5.177325244162341278e+02,5.320483753564550398e+02,1.662912929799846840e+00
5.177301036387775639e+02,5.320583947256482134e+02,1.663174518936078261e+00
5.177233850434315627e+02,5.320717164570744444e+02,1.663353803730263314e+00
5.177259511168875861e+02,5.320770693509924740e+02,1.663098978472272504e+00
5.177213593413977151e+02,5.320810948952539547e+02,1.662956842871045504e+00
5.177189348536131774e+02,5.320816542359207233e+02,1.662907332052018017e+00
5.177195942582148973e+02,5.320907408352450148e+02,1.662909742454202311e+00
5.177174540639031193e+02,5.320952026806287449e+02,1.662836898073087877e+00
5.177116363707647224e+02,5.321022384638073390e+02,1.662979443608899821e+00
5.177128832467517441e+02,5.321097029057596046e+02,1.662801031535776630e+00
5.177107612655426010e+02,5.321038893261973044e+02,1.662426611259635534e+00
5.177111038075097440e+02,5.321126892644737154e+02,1.662490516042048228e+00
5.177118296260799752e+02,5.321145340779911521e+02,1.662425920198456808e+00
5.177034412601844906e+02,5.321160366388922967e+02,1.662391806258392446e+00
5.177045521493450906e+02,5.321163065233350835e+02,1.662509057830139803e+00
5.177033016136188053e+02,5.321205575574083468e+02,1.662455785912908102e+00
5.177007936087305779e+02,5.321235813723434376e+02,1.662366172381510188e+00
